Municipio,Itinerario
SANTA BARBARA D'OESTE,SP 4580
SANTA BRANCA,SP 4600
SANTA CRUZ CABRALIA,BA 2770
SANTA CRUZ DO CAPIBARIBE,PE 1250
SANTA CRUZ DO SUL,RS 1680
SANTA FE DO SUL,SP 4660
SANTA GERTRUDES,SP 4670
SANTA ISABEL,SP 4680
SANTA ISABEL DO PARA,PA 0650
SANTA LEOPOLDINA,ES 0450
SANTA LUZIA,MG 5780
SANTA MARIA,RS 1690
SANTA MARIANA,PR 2390
SANTA MONICA,PR 2395
SANTA RITA (PB),PB 1370
SANTA RITA (MA),MA 1020
SANTA ROSA,RS 1720
SANTA ROSA DE VITERBO,SP 4760
SANTA TEREZA DO OESTE,PR 2402
SANTA TEREZINHA,MT 0777
SANTA TEREZINHA DE ITAIPU,PR 2405
SANTANA DE PARNAIBA,SP 4730
SANTIAGO,RS 1740
SANTO AMARO,BA 2860
SANTO ANASTACIO,SP 4770
SANTO ANDRE,SP 4780
SANTO ANGELO,RS 1750
SANTO ANTONIO DA BARRA,GO 1971
SANTO ANTONIO DA PLATINA,PR 2410
SANTO ANTONIO DE JESUS,BA 2870
SANTO ANTONIO DE POSSE,SP 4800
SANTO ANTONIO DO PALMA,RS 1755
SANTOS,SP 4850
SAO BENTO DO SUL,SC 1580
SAO BERNARDO DO CAMPO,SP 4870
SAO BRAS DO SUACUI,MG 6090
SAO CAETANO DO SUL,SP 4880
SAO CARLOS,SP 4890
SAO CARLOS DO IVAI,PR 2460
SAO FRANCISCO DE PAULA,RS 1820
SAO GONCALO,RJ 0490
SAO GONCALO DOS CAMPOS,BA 2930
SAO GOTARDO,MG 6210
SAO JERONIMO,RS 1840
SAO JOAO BATISTA (MA),MA 1100
SAO JOAO BATISTA (SC),SC 1630
SAO JOAO DE MERITI,RJ 0510
SAO JOAO DEL REI,MG 6250
SAO JOAQUIM DA BARRA,SP 4940
SAO JOSE,SC 1660
SAO JOSE DA LAPA,MG 6295
SAO JOSE DE MIPIBU,RN 1220
SAO JOSE DO RIO PRETO,SP 4980
SAO JOSE DOS CAMPOS,SP 4990
SAO JOSE DOS PINHAIS,PR 2550
SAO LEOPOLDO,RS 1870
SAO LOURENCO,MG 6370
SAO LOURENCO DA MATA,PE 1370
SAO LOURENCO DA SERRA,SP 4995
SAO LUDGERO,SC 1700
SAO LUIS,MA 1130
SAO LUIZ GONZAGA,RS 1890
SAO MANUEL,SP 5010
SAO MARCOS,RS 1900
SAO MATEUS,ES 0490
SAO MIGUEL ARCANJO,SP 5020
SAO MIGUEL DE TAIPU,PB 1500
SAO MIGUEL DO IGUACU,PR 2570
SAO MIGUEL DOS CAMPOS,AL 0860
SAO PAULO,SP 5030
SAO PEDRO,SP 5040
SAO PEDRO DO IVAI,PR 2580
SAO RAIMUNDO DAS MANGABEIRAS,MA 1160
SAO ROQUE,SP 5060
SAO SEBASTIAO DO CAI,RS 1950
SAO SEBASTIAO DO PASSE,BA 2950
SAO SEPE,RS 1960
SAO SIMAO,GO 2040
SAO VICENTE,SP 5100
SAPE,PB 1530
SAPIRANGA,RS 1990
SAPUCAIA DO SUL,RS 2000
SAQUAREMA,RJ 0550
SARANDI (PR),PR 2625
SARANDI (RS),RS 2010
SARAPUI,SP 5110
SARZEDO,MG 6553
SCHROEDER,SC 1740
SENADOR CANEDO,GO 2045
SERAFINA CORREA,RS 2040
SERRA,ES 0500
SERRA DOS AIMORES,MG 6670
SERRANA,SP 5150
SERTANOPOLIS,PR 2650
SERTAOZINHO,SP 5170
SETE LAGOAS,MG 6720
SIDEROPOLIS,SC 1760
SIDROLANDIA,MS 0790
SIMOES FILHO,BA 3070
SINOP,MT 0790
SIRINHAEM,PE 1420
SOBRAL,CE 1290
SOCORRO,SP 5210
SOMBRIO,SC 1770
SONORA,MS 0793
SOROCABA,SP 5220
SORRISO,MT 0792
SOUSA,PB 1620
SUMARE,SP 5240
SUSSUAPARA,PI 1093
SUZANO,SP 5250
TABOAO DA SERRA,SP 5280
TAILANDIA,PA 0795
TAIO,SC 1780
TAMBAU,SP 5330
TANABI,SP 5340
TAPEJARA (PR),PR 2680
TAPEJARA (RS),RS 2090
TAQUARA,RS 2120
TAQUARAL,SP 5365
TAQUARI,RS 2130
TAQUARITINGA,SP 5370
TARUMA,SP 5395
TATUI,SP 5400
TAUBATE,SP 5410
TEIXEIRA DE FREITAS,BA 3135
TELEMACO BORBA,PR 2710
TEOFILO OTONI,MG 6860
TEOTONIO VILELA,AL 0915
TERESINA,PI 1100
TERESOPOLIS,RJ 0580
TERRA BOA,PR 2720
TERRA RICA,PR 2730
TERRA ROXA - PR,PR 2740
TERRA ROXA - SP,SP 5440
TEUTONIA,RS 2145
TIETE,SP 5450
