chave,CD,sku,id_prod,id_dc,moeda,preco,politica,por,atualizado,pp mes anterior,fob net anterior,analista,lead team,q min,reajuste,reajuste,coment,apoio sobre demanda,frac/FALSE
66112110-36SC04,SC04,66112110-36,5159,5,USD,"4,790.75",0.2,1000,TRUE,"4,791.15","5,749.38",FABIO,100,50,,,Seguir pol?tica,REGULAR,FALSE
66112110-36SP13,SP13,66112110-36,5159,1,USD,"4,958.75",0.2,1000,TRUE,"5,001.50","6,001.80",FABIO,100,50,,,Seguir pol?tica,REGULAR,FALSE
77122074-10SC04,SC04,77122074-10,4212,5,USD,"6,594.20",0.15,1000,TRUE,"6,594.59","7,583.78",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
77122074-10SP13,SP13,77122074-10,4212,1,USD,"6,786.97",0.15,1000,TRUE,"6,841.62","7,867.86",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
77122074-41SP13,SP13,77122074-41,2343,1,USD,"7,031.70",0.15,1000,TRUE,"7,126.22","8,195.15",FABIO,100,200,,,Seguir pol?tica,REGULAR,TRUE
77122070-10SP13,SP13,77122070-10,5614,1,USD,"4,805.01",0.3,1000,TRUE,"4,523.70","5,880.81",FABIO,115,0,,,Seguir pol?tica,DESCONTINUADO,FALSE
77122078-10SC04,SC04,77122078-10,5155,5,USD,"10,262.03",0.2,1000,TRUE,"10,262.43","12,314.91",FABIO,115,180,,,Seguir pol?tica,REGULAR,FALSE
77122078-10SP13,SP13,77122078-10,5155,1,USD,"11,529.00",0.2,1000,TRUE,"11,588.90","13,906.68",FABIO,115,180,,,Seguir pol?tica,REGULAR,FALSE
77122088-10SP13,SP13,77122088-10,1721,1,USD,"9,767.71",0.3,1000,TRUE,"9,824.54","12,771.90",FABIO,80,200,,,Seguir pol?tica,REGULAR,FALSE
77122130-145SP13,SP13,77122130-145,3935,1,USD,"6,713.12",0.3,1000,TRUE,"6,752.99","8,778.89",FABIO,80,170,,,Seguir pol?tica,REGULAR,FALSE
77122130-41SP13,SP13,77122130-41,3938,1,USD,"7,000.29",0.3,1000,TRUE,"7,042.00","9,154.59",FABIO,80,170,,,Seguir pol?tica,REGULAR,TRUE
77122131-145SP13,SP13,77122131-145,3939,1,USD,"7,648.50",0.3,1000,TRUE,"7,695.22","10,003.78",FABIO,80,170,,,Seguir pol?tica,REGULAR,FALSE
77122132-145SP13,SP13,77122132-145,5810,1,USD,"7,146.02",0.3,1000,TRUE,"7,189.54","9,346.40",FABIO,80,170,,,Seguir pol?tica,REGULAR,FALSE
